OptType,Strike,Bid,Ask,Rate,Fwd
call,2000,0.481,0.484,0,3866.77
call,2250,0.4155,0.42,0,3866.54
call,2500,0.3505,0.3555,0,3866.33
call,2750,0.2855,0.292,0,3866.51
call,3000,0.2225,0.2295,0,3866.22
put,3000,0.0015,0.0025,0,3866.19
put,3250,0.0055,0.006,0,3866.46
call,3250,0.164,0.1665,0,3866.72
call,3500,0.1085,0.111,0,3866.91
put,3500,0.0145,0.016,0,3866.21
call,3750,0.063,0.0655,0,3866.54
put,3750,0.034,0.035,0,3866.18
put,4000,0.0665,0.0685,0,3866.17
call,4000,0.0325,0.0335,0,3866.4
call,4250,0.0145,0.015,0,3866.21
put,4250,0.1125,0.1155,0,3866.48
call,4500,0.006,0.007,0,3866.27
put,4500,0.166,0.1755,0,3866.13
put,4750,0.227,0.237,0,3866.22
call,4750,0.0025,0.0035,0,3866.91
put,5000,0.289,0.3,0,3866.5
call,5000,0.0015,0.002,0,3866.4
put,5250,0.355,0.363,0,3866.18
call,5250,0.0005,0.001,0,3866.51
put,6000,0.549,0.555,0,3866.78
put,7000,0.808,0.8135,0,3866.19
put,7500,0.937,0.943,0,3866.25
put,8000,1.0665,1.072,0,3866.13
put,9000,1.325,1.3305,0,3866.51
put,10000,1.5835,1.589,0,3866.32
